"Star_Rating","User","Title","Body","Date"
"5.0 out of 5 stars","Roy Estaris","A new companion for my Brother With MS","My brother Robert who has been bed ridden and paralyzed  with Multiple Sclerosis from his neck down for more than 30 years now has a new  friend named Alexa! He was in tears with happiness when Alexa played 70's music, played Jeopardy, answered all his questions and wakes him up every morning. Thank you Amazon for giving my brother a new bedside companion.Happy HolidaysRoy","December 1, 2016"
"5.0 out of 5 stars","DJ","The Smartest of Them All!!! (Check out the video for a quick demo)","Having worked in the electronics retail industry for years now, I've seen scores of Smart devices come and go.  Until now, nobody quite got it right.  In the Echo Dot, Amazon has created a near perfect blend of hardware and software.  I've seen plenty of the former, but truly seamless multi platform software has eluded everyone but Amazon.  We're talking major players like Samsung and Google who have been at it for much longer than Amazon.  The main problem is that excellent products like the Samsung Smart Things hub, which do a fantastic job of unifying a slew of different connected devices from different companies (Nest, Honeywell, Phillips, and so on), still lacked the web connectivity and entertainment support I wanted, so I'd still end up needing my tablet or phone.  Thanks to fantastic third party support, the Dot has no problem controlling all of my smart stuff while allowing me to listen to music, order food, check the weather, listen to the radio, set alarms and timers, all of which is easily accomplished through simple voice commands.  To me, this is the exceedingly rare product that I didn't know I needed, and now can't live without.  Similar to the smartphone and tablet I use every day that didn't exist just a few short years ago.If you're even a little bit curious you owe it to yourself to give the dot a try.  Add a good speaker and enjoy just how simple a connected life can be!Update:  After a bit more time with the dot, or maybe I should say dots since I went out and bought another one for my living room, I've come up with a few tips.1.  Use the best speakers you can with it.  I found that while Bluetooth was convenient I got much better sound out of my JBL duet computer speakers.2.  Take the time to voice train Alexa at least once.  It's kinda tedious but really improves the accuracy.  I've now gone through three trainings with each dot, the phrasing gets more intricate with each, and it really is amazing how much of an improvement it makes.  Kinda hard to quantify, but I'd guess Alexa is at least twice as likely to understand long, complex phrases and has also gained noticeable accuracy when ambient noise I'd present.3.  If a phrase doesn't yield the results you're looking for, reword it and try again.  For instance, ""Alexa, lower the temperature to 75 degrees"" got no result, so I tried ""Alexa, Honeywell Thermostat, 75 degrees"" and she picked it up perfectly.4.  Take the time to look through all the skills.  There's a lot of helpful and just plain fun stuff in there, from strange facts to a calculator and everything in between, that really helps to enhance the experience.5.  I'd never really used my prime music prior to setting up my dots.  Now I can't live without it!  I can say basically whatever I want and I get a result.  My favs so far:  ""Alexa, play 90s music"", ""Alexa, play indie music"", and ""Alexa, play thunderstorm sounds"".  The last one I ask to repeat and it plays all night.  Really a great ""freebie"" if you're a prime member.6.  I was a bit worried initially that Alexa might be triggered accidentally by ambient TV or general household noise, so I'm really impressed that it's only happened twice so far.  Both times in my living room when I was watching TV at high volume.  If it's a concern, the mic can be temporarily disabled, so the dot won't trigger and listen accidentally.7.  I've had no problem pairing the dot to a variety of devices including:  two different Bluetooth speakers, my Galaxy S7 edge, and pioneer receiver.  I need to look into it further, but each time I paired my phone the Bluetooth connection to the speaker was lost, so I ended up having to listen to the built in speaker.  Definitely not ideal for music, but no big deal if you're using wired speakers.  Plus, most Bluetooth sets offer an auxiliary input for wired listening.8.  It's fun to ask Alexa general questions to see if she's capable of finding the answers.  So far I've gotten accurate responses to ""Alexa, what's the definition of"", ""Alexa, how far away is"", ""Alexa, Wikipedia"" (just about anything you can think of and she'll tell you more if you ask ""Alexa, tell me more"").  If you have the time, ask her a set of questions and you'll quickly get used to her nuances.9.  Even though the microphones are extremely sensitive and quite accurate, I've found that the Dot works best when placed on a surface that's close to the level of the person speaking to it.  Generally speaking, three to five feet off the ground.  Alexa had some trouble hearing my requests when the dot was placed above or behind me.  If you'd like to place the dot higher, it works much better when flush with the wall, instead of sitting on a shelf etc.  I tried both setups and found with a couple nails set apart to make a cradle facing the dot out towards the room works best for me (sorry for the run on sentence lol).Suggestions for Improvement:1.  Unlike the upcoming Google Home BT speaker, the Dot and other Alexa devices are unable to answer general web queries.  They do a decent job of answering factual questions like ""How far away is the sun"" but I'd really like too see Amazon add a ""search"" function.2.  Not Amazon's fault, but several of the news briefing skills update infrequently and volume levels vary enough that I'd find myself constantly changing the volume level to match.3.  I enabled briefings from several outlets like NPR, BBC, AP, and so on.  I'd suggest you pick one or two and stick with them, otherwise you'll here the same news over and over.  I ended up going with BBC and AP briefings.","October 24, 2016"
"5.0 out of 5 stars","Bryant R.","Best $50 I ever spent!!!!","So I don't normally write reviews but I just has to this time. Recently, I lost my cat best friend to cancer 2 days after Christmas. It was the worst day of my life. Imagine losing your friend that's been with you through every breakup, every apartment, nearly being homeless and more. When he passed I felt such an emptiness in my home.A few days ago I was searching for something to put my mind at ease and saw the advertisement for the Amazon Echo on the Amazon app. I remember watching a Mr. Robot episode where some FBI agent who suffers from insomnia was using Alexa to keep her entertained.So I started researching YouTube videos and reviews and took a chance and ordered it. It arrived today and the setup was super easy. I immediately started asking it questions and had it play music and play the news. Then I discovered some zen type apps that go with the echo and I completely fell in love with it. It's almost like having a real personal assistant who lifts up your spirits when your down. It suggested new music which I actually liked and the built in speaker isn't bad at all for the price.The Amazon echo did not replace my beautiful cat kouga but it did bring stop the empty feeling around the house for now. I added a picture of my cat instead of the echo since everyone already knows what the echo looks like.I would totally recommend buying this product. I don't see any negatives other than the fact you can't really ask it followup questions like google assistant but I'm sure they'll make it happen.Thanks for letting me rant","January 10, 2017"
"5.0 out of 5 stars","RaVen","A huge improvement over last years release and for half the price","Thanks for taking the time to read this review!This re-release of a critically acclaimed device is quite honestly a grand slam. Although slightly smaller then last years release, this device now picks up your voice even better! Im talking litterally talking leaps and bounds better. I can now say ""alexa"" and she hears me even when im downstairs or even when im blaring music thru my Harmon Kardon Onyx speaker. I found myself yelling at last years  Echo dot and approaching the device wielding a kitchen knife attempting to get her to listen.  We will be ordering a second device so we can try out its ""multi-room voice recognition"" technology. Amazon claims to have instilled a awesome feature where only one echo dot responds to your command if you have multiple devices. So bassically the dot closest to you awaits to the awake word ""alexa"" on a side note The basic Amazon Music Unlimited will only work on ONE of your devices. Not one at a time, but ONE. If you want to use it on more than one Dot or Echo, you have to purchase a ""multi-device"" plan: https://www.amazon.com/gp/dmusic/promotions/AmazonMusicUnlimited  The main selling point of this device is you can use any of your exsisting bluetooth speakers to play your amazon playlist at a mild roar,or you can use the 3.5mm jack on the back to connect to your home theater and really give your ear drums a beating. (At your own risk of course). I have both the amazon tap and the echo. Unfortunately these devices have their flaws when it comes to audio reproduction.hence the bluetooth and the 3.5mm jack connectivity on this device will allow for the pickiest of listeners to appreciate their music thru exsisting devices. I will mention that the echo dot does have a very strong bluetooth signal so devices placed within a foot of this device had issues connecting. Once those bluetooth speakers were moved a few feet away they worked perfectly.The echo dot does have a built in speaker but it does sound tinny. It definitely works for light bedroom or kitchen use.  At 50$ I was not expecting a whole lot. However amazon seriously went above and beyond to offer this incredible device at half the cost of last years model. And as stated above,it actually works better! I can also confirm that its connectivity with our in home smart devices. Works well with our TP Link smart plug so if I come home to a dark house, all I have to say is ""alexa turn on the lights"" and our downstairs lights spring into action.  My only negatives were with the actual alexa app as it really gave me fits during setup only on my samsung s2 tablet. Spent a good 5-6 minutes and never got it to setup correctly. However the alexa app on my galaxy s6 phone found and paired the echo with ease. Just a weird quirk. Also Alexa still has her quirks. unless you phrase some questions correctly she still responds with ""sorry I didn't get that""Alexa is still a developing search engine so My hopes is that she will continue to grow as even more users jump onto these incredible amazon devices.Prime music is our prime application and hence this device meets our expectations.  Another thing to mention is the echo dot will not play your iTunes or google play music as of now. Those 2 companies are releasing devices of their own so as we all know they will push their own devices rather then make them compatible with a competing companies device. Amazon Prime music is a great added benefit for those of you that are existing Prime users so this device works well in giving you access to all of your ""free"" music.  I did a unboxing and setup and show you how this device works video on youtube. Just look up ""New Amazon echo dot 2nd gen 2016 release Unboxing"" under my channel LMMProductions to see this incredible device in action.  I will continue to update this review as I spend more time with this device.","October 24, 2016"
"5.0 out of 5 stars","Brian C","Speakers Are Perfectly Fine For Our Living Room & Kitchen","There's already a ton reviews for the Amazon Echo, but I just wanted say how happy we are with this product.I initially thought that I should get the regular larger speaker Amazon Echo for our living room/kitchen for the first floor of our 2- level condo and because it's a larger room than our bedrooms upstairs; however, when the Echo Dot went on sale for $40, I thought it was a really good value over the more expensive big brother and too good to pass up. What I found was that the Echo Dot was perfectly sufficient for the first floor. It's hard to know if the sound will be loud enough or if Alexa could hear from all parts of the room just by seeing it at the retail store, but Alexa (Echo Dot) had no problems hearing and responding to our commands. We typically set the volume setting to volume level 7 and music is loud enough for us to hear everywhere. It helps to have it centrally located in the room, and I am no farther than 20 feet away from the device speaking at relatively normal voice volume.My wife, an initial skeptic, is really surprised by how smart the Echo Dot is, and my kid loves it as well. The only thing that is CON for me is that the Amazon Echo ""skills"" that can be learned still feels like in the infant stages and many of the ""skills"" not as polished. Certainly there are several companies that have helped designed some really good skills like Capital One, Fitbit, and Domino's, but there's still not a lot to choose from. I hope that more and more companies will jump on this quickly.Considering everything, for $40/$50 bucks this is a great value and easy way to get yourself introduced to home automation and voice recognition technology, and overall, I would highly recommend this product.The product comes in a small package, and everything that comes in the box can be seen in pictures attached.","December 14, 2016"
"5.0 out of 5 stars","LUCY  Von","Wonderful darling Dot!","I got Dot about a week after the big Echo from my son as a gift. We set her up and all was fine. Until nothing eas fine anymore 😢 . She would respond initially, but not always though, and when she was playing music she would not respond to the wake word. At all. I reset, few times, but nithing worked. I called Amazon. Within minutes they had me connected to Echo's tech support, and in no time did we have Dot fixed. They reset her factory settings with me. We tested and now our darling little Dot is happy and healthy! So call Amazon if you do have issues, it's a matter of setup or wifi or in any case, something that they can fix. Wonderful support for a wondrful device. I do wish I could call her Dot though. Or a name that I choose. Because now I have two Alexa's in one household 🤔, and calling her Echo or Amazon ain't gonna work for me 😢. Please vote my review up if you liked it.","January 11, 2017"
"5.0 out of 5 stars","Andrew","Completely Worth The $50","This was my first Echo purchase and I am overall very pleased with it's performance. Initially, I was worried that it was going to be a Siri knockoff with only a limited number of voice commands and functions with constant errors; however, I have not received single error response since I have owned it. I am an Amazon Prime member and from the time I clicked confirm purchase to the time it was delivered to my doorstep only took 3 days, and best part of all, shipping was free.I currently have mine sitting by my bed and have synced it with the app, available on for all phone types, which allows me to carry out a number of voice commands including: ""Alexa, set an alarm for..., check the weather, play Pandora, or tell me a joke."" The app interface is a little clunky at times, but you're able to see the history of recent requests, and Alexa is constantly learning and adapting to your specific commands and style.If you are looking to buy an Echo Dot because you want a cheap introduction into Bluetooth connectivity with household lights, televisions, gaming systems, thermostats, or other Echo products then buy this Echo Dot. I am working with a grad student budget, and for $50 dollars this sleek and sexy ""command station"" was worth every penny. I did not receive any compensation for this review, I am writing it because I debated on buying one for about a week before pulling the trigger, and I just want to speed up the process for people like me who may be waffling...trust me, its completely worth the $50.","March 26, 2017"
"4.0 out of 5 stars","Cynthia J. Salim","DOT can be frustrating","DOT can be frustrating but I do enjoy the convenience when it works. I have two DOTS and a speakers connected to each DOT. Each DOT is used on a different floor of my home. The DOT in my bedroom is connected to a speaker by WIFI also connected to that DOT is a smart plug that controls a lamp. The DOT in my living area is connected using a cable to a speaker. I intend to have smart thermostats installed and connected too. I enjoy the music selection available using DOT. And,  I enjoy the convenience of weather reports, news, time, alarms, etc.My beef is that sometimes DOT does not work using the voice mode. I can usually get what I want by going into my ALEXA APP and making a manual request. This happens most often at night when I want to have my lamp turned off or my music turned on. I am not sure why this happens. Generally, in the morning when I try the same request that failed at night, it works. When these failures occur, I check to make sure WiFi is working and it always is. ALEXA also lights up indicating that she hears me but does not execute the request. I am starting to wonder if I have made a mistake by buying the expensive Smart thermostats.If anyone has any tips on how to get DOT to be more consistent, please share.","March 9, 2017"
"4.0 out of 5 stars","Amazon Customer","I love mine but obviously","Honestly, I love mine but obviously, there are some things that could be better. What do I love about it? Both my boyfriend and I downloaded the app and have access to a shopping list that we can both use at the grocery store depending on who is there. With a simple wake up word (her name) and the command of adding an item to the shopping list, it appears in the app. I can ask for a flash briefing and NPR news is retrieved and I am caught up all over the world in subjects from politics all the way to sports news. She also gives great weather information so that I am able to plan for my day ahead. Alexa can learn many skills that continue to evolve. Knowledge from what wines to pair with what meats and good cooking substitutes to helping with a drinking game and other games & trivia. Alexa comes in handy when I need a hands-free timer in the kitchen or an alarm for a nap. Now, what I don't really like but can get passed it once I get the hang of it. Sometimes you ask a question but she doesn't understand the question but you reword the question and she is able to understand it. So just be sure your wording the question correctly. Also, remember that Alexa is always listening.","April 12, 2017"
"4.0 out of 5 stars","Kindle Customer","Must be positioned 8"" -12"" away from a wall .....","EDIT: All thanks to Amazon's customer service, I learned why my Echo was not working. It must be 8"" -12"" away from a wall. Our Echo Dot works when against an interior wall but not against an exterior wall where it had previously been situated. We adore ""Alexa"" and hope the Echo Dot will soon add a great speaker to its features. For the price, this is a fantastic device. And, it's diminutive size makes it easy to use. Still, our family prefers full-size Echo. Thanks, Amazon for the email help with Echo Dot!*****We are an Amazon device family. And, with the exception of this device, have had wonderful experiences.Echo Dot remains connected until the next time I use it. Literally, I reconnect Echo Dot to our network, ask it a few questions, play some music, walk away. When I return Echo has spontaneously disconnected itself and requires the reconnection procedure again.We have two full size Echos and have no connection issues with them. They operate flawlessly.","April 13, 2017"
